DATAFLOW,LAST UPDATE,freq,s_adj,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2018-Q4,8.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2019-Q1,8.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2019-Q2,7.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2019-Q3,7.3,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2019-Q4,7.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2020-Q1,7.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2020-Q2,7.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2020-Q3,8.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2020-Q4,8.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2021-Q1,8.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2021-Q2,7.9,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2021-Q3,7.4,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2021-Q4,7.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2022-Q1,7.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2022-Q2,6.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2022-Q3,6.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2022-Q4,6.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2023-Q1,6.8,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,NSA,Y15-74,PC_ACT,T,EA20,2023-Q2,6.3,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2009-Q1,9.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2009-Q2,9.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2009-Q3,9.9,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2009-Q4,10.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2010-Q1,10.3,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2010-Q2,10.3,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2010-Q3,10.3,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2010-Q4,10.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2011-Q1,10.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2011-Q2,10.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2011-Q3,10.4,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2011-Q4,10.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2012-Q1,11.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2012-Q2,11.4,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2012-Q3,11.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2012-Q4,12.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2013-Q1,12.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2013-Q2,12.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2013-Q3,12.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2013-Q4,12.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2014-Q1,12.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2014-Q2,11.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2014-Q3,11.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2014-Q4,11.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2015-Q1,11.3,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2015-Q2,11.1,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2015-Q3,10.8,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2015-Q4,10.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2016-Q1,10.4,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2016-Q2,10.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2016-Q3,10.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2016-Q4,9.8,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2017-Q1,9.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2017-Q2,9.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2017-Q3,9.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2017-Q4,8.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2018-Q1,8.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2018-Q2,8.3,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2018-Q3,8.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2018-Q4,8.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2019-Q1,7.8,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2019-Q2,7.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2019-Q3,7.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2019-Q4,7.5,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2020-Q1,7.4,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2020-Q2,7.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2020-Q3,8.7,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2020-Q4,8.2,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2021-Q1,8.3,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2021-Q2,8.0,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2021-Q3,7.6,
ESTAT:UNE_RT_Q(1.0),14/09/23 23:00:00,Q,SA,Y15-74,PC_ACT,T,EA20,2021-Q4,7.1,
