DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2000,1095900.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2001,1138375.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2002,1187671.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2003,1256188.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2004,1317459.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2005,1393038.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2006,1470719.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2007,1546085.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2008,1589259.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2009,1548513.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2010,1606027.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2011,1660141.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2012,1711770.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2013,1780336.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2014,1863008.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2015,1919641.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2016,1994712.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2017,2068757.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2018,2141792.0,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MNAC,B1GQ,UK,2019,2217787.0,
